epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7193,2.22862,5.07333,1.80313,0,0,0,0,1.54899,4.82622,1.263,0.000161765,0.000161765,0.000161765
2,37.7257,1.69299,4.41797,1.32044,0.00728,0.15405,0.04058,0.02097,1.39137,4.45826,1.15567,0.00032518,0.00032518,0.00032518
3,54.6341,1.59163,3.97005,1.21633,0.657,0.10333,0.06226,0.03418,1.55097,3.53429,1.2679,0.000485295,0.000485295,0.000485295
4,71.2829,1.62059,3.2689,1.26198,0.66208,0.15994,0.10659,0.0648,1.46795,3.09226,1.23016,0.00048515,0.00048515,0.00048515
5,87.9836,1.57991,2.80618,1.20497,0.69954,0.21506,0.14045,0.07984,1.50545,2.76816,1.2791,0.0004802,0.0004802,0.0004802
6,104.583,1.51959,2.56685,1.19661,0.74118,0.188,0.16214,0.09431,1.47599,2.57082,1.27314,0.00047525,0.00047525,0.00047525
7,122.555,1.51919,2.45343,1.21136,0.74468,0.2309,0.18278,0.10515,1.46398,2.41273,1.23777,0.0004703,0.0004703,0.0004703
8,139.708,1.48122,2.41098,1.18055,0.77134,0.23095,0.20483,0.12219,1.38241,2.26021,1.18337,0.00046535,0.00046535,0.00046535
9,156.682,1.34382,2.13739,1.14059,0.76602,0.2347,0.19071,0.12004,1.31794,2.31867,1.17465,0.0004604,0.0004604,0.0004604
10,173.7,1.31923,2.03328,1.11405,0.7873,0.24828,0.21879,0.14008,1.27135,2.14586,1.12429,0.00045545,0.00045545,0.00045545
11,190.6,1.41513,2.1578,1.16686,0.74309,0.27798,0.19074,0.11624,1.38373,2.40799,1.18831,0.0004505,0.0004505,0.0004505
12,207.634,1.38871,2.00748,1.14402,0.74091,0.28793,0.21173,0.13143,1.26999,2.31661,1.16342,0.00044555,0.00044555,0.00044555
